anamet_code,number_of_suppliers
“40013”,88
"""80001""",71
"""50070""",61
"""40000""",58
"""50096""",58
"""80002""",58
"""80000""",35
"""50060""",32
"""50061""",29
"""50057""",28
"""50058""",26
"""40091""",23
"""80005""",23
"""50104""",22
"""50018""",21
"""50010""",21
"""40011""",20
"""50028""",20
"""50046""",20
"""50059""",19
"""50049""",18
"""50063""",18
"""50066""",17
"""50003""",16
"""50002""",14
"""40002""",13
"""40012""",13
"""50071""",13
"""50111""",13
"""50077""",12
"""80004""",12
"""50007""",12
"""50000""",11
"""50064""",10
"""50074""",10
"""50196""",10
"""50053""",8
"""40010""",7
"""50050""",7
"""50072""",7
"""50204""",7
"""50076""",7
"""80003""",7
"""50024""",6
"""50005""",6
"""40017""",5
"""40092""",5
"""50040""",5
"""50056""",5
"""50029""",4
"""50033""",4
"""50052""",4
"""50065""",4
"""50008""",4
"""50019""",3
"""50027""",3
"""50055""",3
"""50062""",3
"""50206""",3
"""50075""",3
"""50011""",3
"""40001""",2
"""40003""",2
"""40004""",2
"""40006""",2
"""40240""",2
"""40133""",2
"""40018""",2
"""40120""",2
"""50022""",2
"""50211""",2
"""50044""",2
"""50108""",2
"""50208""",2
"""40242""",2
"""50004""",2
"""50009""",2
"""50017""",2
"""40007""",1
"""40009""",1
"""40152""",1
"""40166""",1
"""40180""",1
"""50020""",1
"""50023""",1
"""50034""",1
"""50210""",1
"""50039""",1
"""50068""",1
"""50073""",1
"""50205""",1
"""50078""",1
"""50079""",1
"""50106""",1
"""50195""",1
"""50113""",1
"""50192""",1
"""50289""",1
"""50259""",1
"""25128000001""",1
"""50283""",1
"""50182""",1
"""50181""",1
"""50183""",1
